name,point,ecfprfr_energy
H2,41,-230.06882331861897
H2,42,-230.068823318619
H2,43,-230.06882331861897
H2,44,-230.06882331861902
H2,45,-230.068823318619
H2CCH2,0,-252.007550936083
H2CCH2,1,-252.007550936083
H2CCH2,2,-252.00755093608296
H2CCH2,3,-252.007550936083
H2CCH2,4,-252.00755093608296
H2CCH2,5,-252.007550936083
H2CCH2,6,-252.007550936083
H2CCH2,7,-252.0075509360829
H2CCH2,8,-252.007550936083
H2CCH2,9,-252.007550936083
H2CCH2,10,-252.007550936083
H2CCH2,11,-252.007550936083
H2CCH2,12,-230.06882331861902
H2CCH2,13,-230.068823318619
H2CCH2,14,-230.06882331861902
H2CCH2,15,-230.068823318619
H2CCH2,16,-230.06882331861897
H2CCH2,17,-230.06882331861897
H2CCH2,18,-230.06882331861902
H2CCH2,19,-230.068823318619
H2CCH2,20,-230.068823318619
H2CCH2,21,-230.06882331861902
H2CCH2,22,-230.06882331861902
H2CCH2,23,-230.068823318619
H2CCH2,24,-230.06882331861908
H2CCH2,25,-230.06882331861908
H2CCH2,26,-230.068823318619
H2CCH2,27,-230.06882331861897
H2CCH2,28,-230.068823318619
H2CCH2,29,-230.06882331861902
H2CCH2,30,-230.06882331861897
H2CCH2,31,-230.06882331861897
H2CCH2,32,-230.068823318619
H2CCH2,33,-230.068823318619
H2CCH2,34,-230.068823318619
H2CCH2,35,-230.06882331861897
H2CCH2,36,-230.06882331861902
H2CCH2,37,-230.06882331861902
H2CCH2,38,-230.068823318619
H2CCH2,39,-230.068823318619
H2CCH2,40,-230.06882331861902
H2CCH2,41,-230.068823318619
H2CCH2,42,-230.06882331861908
H2CCH2,43,-230.06882331861902
H2CCH2,44,-230.06882331861908
H2CCH2,45,-230.06882331861897
H2O,0,-230.068823318619
H2O,1,-230.06882331861902
H2O,2,-230.06882331861902
H2O,3,-230.06882331861897
H2O,4,-230.068823318619
H2O,5,-230.068823318619
H2O,6,-230.06882331861902
H2O,7,-230.068823318619
H2O,8,-230.06882331861902
H2O,9,-230.06882331861902
H2O,10,-230.068823318619
H2O,11,-230.068823318619
H2O,12,-230.06882331861897
H2O,13,-230.06882331861897
H2O,14,-230.06882331861897
H2O,15,-230.06882331861902
H2O,16,-230.06882331861902
H2O,17,-230.06882331861902
H2O,18,-230.06882331861902
H2O,19,-230.06882331861902
H2O,20,-230.06882331861902
H2O,21,-230.06882331861908
H2O,22,-230.06882331861902
H2O,23,-230.06882331861897
H2O,24,-230.06882331861897
H2O,25,-230.068823318619
H2O,26,-230.06882331861902
H2O,27,-230.06882331861902
H2O,28,-230.06882331861897
H2O,29,-230.06882331861897
H2O,30,-230.068823318619
H2O,31,-230.068823318619
H2O,32,-230.06882331861902
H2O,33,-230.068823318619
H2O,34,-230.068823318619
H2O,35,-230.06882331861908
H2O,36,-230.06882331861902
H2O,37,-230.068823318619
H2O,38,-230.068823318619
H2O,39,-230.06882331861908
H2O,40,-230.06882331861902
H2O,41,-230.068823318619
H2O,42,-230.06882331861902
H2O,43,-230.06882331861908
H2O,44,-230.06882331861902
H2O,45,-230.06882331861897
HCCH,0,-230.54155190867473
HCCH,1,-230.5415519086747
HCCH,2,-230.54155190867473
HCCH,3,-230.54155190867468
HCCH,4,-230.54155190867476
HCCH,5,-230.54155190867473
HCCH,6,-230.54155190867473
HCCH,7,-230.5415519086747
HCCH,8,-230.54155190867468
HCCH,9,-230.5415519086747
HCCH,10,-230.54155190867473
HCCH,11,-230.5415519086747
HCCH,12,-230.5415519086747
HCCH,13,-230.068823318619
HCCH,14,-230.068823318619
HCCH,15,-230.068823318619
HCCH,16,-230.06882331861902
HCCH,17,-230.06882331861902
HCCH,18,-230.06882331861902
HCCH,19,-230.06882331861897
HCCH,20,-230.06882331861897
HCCH,21,-230.06882331861908
HCCH,22,-230.068823318619
HCCH,23,-230.06882331861902
HCCH,24,-230.068823318619
HCCH,25,-230.06882331861902
HCCH,26,-230.06882331861902
HCCH,27,-230.068823318619
HCCH,28,-230.06882331861902
HCCH,29,-230.06882331861902
HCCH,30,-230.06882331861902
HCCH,31,-230.06882331861908
HCCH,32,-230.06882331861897
HCCH,33,-230.06882331861908
HCCH,34,-230.06882331861897
HCCH,35,-230.068823318619
HCCH,36,-230.06882331861897
HCCH,37,-230.068823318619
HCCH,38,-230.068823318619
HCCH,39,-230.068823318619
HCCH,40,-230.06882331861902
HCCH,41,-230.06882331861897
HCCH,42,-230.068823318619
HCCH,43,-230.068823318619
HCCH,44,-230.068823318619
HCCH,45,-230.068823318619
HCN,0,-308.28321888314787
HCN,1,-308.283218883148
HCN,2,-308.2832188831479
HCN,3,-308.28321888314787
HCN,4,-308.28321888314787
HCN,5,-308.2832188831479
HCN,6,-308.283218883148
HCN,7,-308.283218883148
HCN,8,-308.2832188831479
HCN,9,-308.2832188831479
HCN,10,-308.283218883148
HCN,11,-308.2832188831479
HCN,12,-308.283218883148
HCN,13,-230.0688233186189
HCN,14,-230.06882331861902
HCN,15,-230.068823318619
HCN,16,-230.06882331861902
HCN,17,-230.06882331861897
HCN,18,-230.068823318619
HCN,19,-230.06882331861902
HCN,20,-230.068823318619
HCN,21,-230.06882331861902
HCN,22,-230.068823318619
HCN,23,-230.06882331861902
HCN,24,-230.068823318619
HCN,25,-230.06882331861902
HCN,26,-230.068823318619
HCN,27,-230.06882331861902
HCN,28,-230.06882331861902
HCN,29,-230.06882331861902
HCN,30,-230.06882331861902
HCN,31,-230.06882331861902
HCN,32,-230.068823318619
HCN,33,-230.06882331861902
HCN,34,-230.06882331861902
HCN,35,-230.06882331861902
HCN,36,-230.06882331861902
HCN,37,-230.06882331861897
HCN,38,-230.068823318619
HCN,39,-230.06882331861902
HCN,40,-230.068823318619
HCN,41,-230.06882331861897
HCN,42,-230.068823318619
HCN,43,-230.06882331861908
HCN,44,-230.068823318619
HCN,45,-230.06882331861902
HF,0,
HF,1,
HF,2,
HF,3,
HF,4,
HF,5,
HF,6,
HF,7,
HF,8,
HF,9,
HF,10,
HF,11,
HF,12,
HF,13,
HF,14,
HF,15,
HF,16,
HF,17,
HF,18,
HF,19,
HF,20,
HF,21,
HF,22,
HF,23,
HF,24,
HF,25,
HF,26,
HF,27,
HF,28,
HF,29,
HF,30,
HF,31,
HF,32,
HF,33,
HF,34,
HF,35,
HF,36,
HF,37,
HF,38,
HF,39,
HF,40,
HF,41,
HF,42,
HF,43,
HF,44,
HF,45,
N2,0,-320.1826922174338
N2,1,-320.1826922174338
N2,2,-320.1826922174337
N2,3,-320.1826922174337
N2,4,-320.1826922174338
N2,5,-320.1826922174338
N2,6,-320.1826922174337
N2,7,-320.18269221743367
N2,8,-320.1826922174338
N2,9,-320.1826922174337
N2,10,-320.1826922174337
N2,11,-320.18269221743367
N2,12,-320.1826922174337
N2,13,-230.068823318619
N2,14,-230.068823318619
N2,15,-230.068823318619
N2,16,-230.068823318619
N2,17,-230.06882331861897
N2,18,-230.06882331861902
N2,19,-230.06882331861902
N2,20,-230.06882331861897
N2,21,-230.068823318619
N2,22,-230.06882331861902
N2,23,-230.06882331861902
N2,24,-230.068823318619
N2,25,-230.068823318619
N2,26,-230.06882331861902
N2,27,-230.06882331861897
N2,28,-230.06882331861902
N2,29,-230.06882331861902
N2,30,-230.068823318619
N2,31,-230.06882331861902
N2,32,-230.06882331861902
N2,33,-230.068823318619
N2,34,-230.06882331861902
N2,35,-230.06882331861897
