name,phi,psi,theta,fchl_energy
aspartame,100,80,,-1297.3391820788383
aspartame,100,100,,-1297.3391820788383
aspartame,100,120,,-1297.3391820788383
aspartame,100,140,,-1297.3391820788383
aspartame,100,160,,-1297.3391820788383
aspartame,100,180,,-1297.3391820788383
aspartame,100,-20,,-1297.3391820788383
aspartame,100,-40,,-1297.3391820788383
aspartame,100,-60,,-1297.3391820788383
aspartame,100,-80,,-1297.3391820788383
aspartame,100,-100,,-1297.3391820788383
aspartame,100,-120,,-1297.3391820788383
aspartame,100,-140,,-1297.3391820788383
aspartame,100,-160,,-1297.3391820788383
aspartame,100,-180,,-1297.3391820788383
aspartame,120,0,,-1297.3391820788383
aspartame,120,20,,-1297.3391820788383
aspartame,120,40,,-1297.3391820788383
aspartame,120,60,,-1297.3391820788383
aspartame,120,80,,-1297.3391820788383
aspartame,120,100,,-1297.3391820788383
aspartame,120,120,,-1297.3391820788383
aspartame,120,140,,-1297.3391820788383
aspartame,120,160,,-1297.3391820788383
aspartame,120,180,,-1297.3391820788383
aspartame,120,-20,,-1297.3391820788383
aspartame,120,-40,,-1297.3391820788383
aspartame,120,-60,,-1297.3391820788383
aspartame,120,-80,,-1297.3391820788383
aspartame,120,-100,,-1297.3391820788383
aspartame,120,-120,,-1297.3391820788383
aspartame,120,-140,,-1297.3391820788383
aspartame,120,-160,,-1297.3391820788383
aspartame,120,-180,,-1297.3391820788383
aspartame,140,0,,-1297.3391820788383
aspartame,140,20,,-1297.3391820788383
aspartame,140,40,,-1297.3391820788383
aspartame,140,60,,-1297.3391820788383
aspartame,140,80,,-1297.3391820788383
aspartame,140,100,,-1297.3391820788383
aspartame,140,120,,-1297.3391820788383
aspartame,140,140,,-1297.3391820788383
aspartame,140,160,,-1297.3391820788383
aspartame,140,180,,-1297.3391820788383
aspartame,140,-20,,-1297.3391820788383
aspartame,140,-40,,-1297.3391820788383
aspartame,140,-60,,-1297.3391820788383
aspartame,140,-80,,-1297.3391820788383
aspartame,140,-100,,-1297.3391820788383
aspartame,140,-120,,-1297.3391820788383
aspartame,140,-140,,-1297.3391820788383
aspartame,140,-160,,-1297.3391820788383
aspartame,140,-180,,-1297.3391820788383
aspartame,160,0,,-1297.3391820788383
aspartame,160,20,,-1297.3391820788383
aspartame,160,40,,-1297.3391820788383
aspartame,160,60,,-1297.3391820788383
aspartame,160,80,,-1297.3391820788383
aspartame,160,100,,-1297.3391820788383
