name,point,mmff_energy
CH4,44,591755.828496979
CH4,45,658356.6088479627
CO,1,523.2741686013254
CO,2,271.95825080207294
CO,3,120.22891081743649
CO,4,39.20963717460619
CO,5,5.429624824692394
CO,6,0.8237751427267582
CO,7,12.732695927661512
CO,8,33.90270140236981
CO,9,62.48581221364548
CO,10,102.03975543220344
CO,11,161.5279645526791
CO,12,255.31957949362877
CO,13,403.1894465975299
CO,14,630.31811863078
CO,15,967.2918547836986
CO,16,1450.1026206705249
CO,17,2120.1480883294194
CO,18,3024.23163622246
CO,19,4214.562349235656
CO,20,5748.755018678926
CO,21,7689.830142286117
CO,22,10106.213924214991
CO,23,13071.738275047217
CO,24,16665.64081178843
CO,25,20972.56485786814
CO,26,26082.55944313981
CO,27,32091.079303880793
CO,28,39098.98488279238
CO,29,47212.542328999756
CO,30,56543.42349805214
CO,31,67208.70595192249
CO,32,79330.87295900783
CO,33,93037.81349412896
CO,34,108462.82223853082
CO,35,125744.59957988221
CO,36,145027.25161227546
CO,37,166460.2901362275
CO,38,190198.63265867866
CO,39,216402.6023929933
CO,40,245237.9282589601
CO,41,276875.7448827908
CO,42,311492.5925971218
CO,43,349270.41744101356
CO,44,390396.57115994947
CO,45,435063.81120583817
H2,1,0.0
H2,2,0.0
H2,3,0.0
H2,4,0.0
H2,5,0.0
H2,6,0.0
H2,7,0.0
H2,8,0.0
H2,9,0.0
H2,10,0.0
H2,11,0.0
H2,12,0.0
H2,13,0.0
H2,14,0.0
H2,15,0.0
H2,16,0.0
H2,17,0.0
H2,18,0.0
H2,19,0.0
H2,20,0.0
H2,21,0.0
H2,22,0.0
H2,23,0.0
H2,24,0.0
H2,25,0.0
H2,26,0.0
H2,27,0.0
H2,28,0.0
H2,29,0.0
H2,30,0.0
H2,31,0.0
H2,32,0.0
H2,33,0.0
H2,34,0.0
H2,35,0.0
H2,36,0.0
H2,37,0.0
H2,38,0.0
H2,39,0.0
H2,40,0.0
H2,41,0.0
H2,42,0.0
H2,43,0.0
H2,44,0.0
H2,45,0.0
H2CCH2,1,276.26788577768326
H2CCH2,2,137.67151041190354
H2CCH2,3,58.57128291459719
H2CCH2,4,20.447634511991765
H2CCH2,5,8.641677056548987
H2CCH2,6,12.346316974474334
H2CCH2,7,24.599916917404094
H2CCH2,8,42.28161667807876
H2CCH2,9,66.10792827347677
H2CCH2,10,100.6303480522584
H2CCH2,11,154.2337485627663
H2CCH2,12,239.13533336924647
H2CCH2,13,371.38397653550305
H2CCH2,14,570.8598137637877
H2CCH2,15,861.27399295078
H2CCH2,16,1270.1685234428421
H2CCH2,17,1828.9161854415825
H2CCH2,18,2572.7204756816864
H2CCH2,19,3540.6155748321708
H2CCH2,20,4775.466327851125
H2CCH2,21,6323.96823204379
H2CCH2,22,8236.647429694152
H2CCH2,23,10567.860703409884
H2CCH2,24,13375.795473077063
H2CCH2,25,16722.469793771554
H2CCH2,26,20673.73235424153
H2CCH2,27,25299.26247573417
H2CCH2,28,30672.57011103391
H2CCH2,29,36870.9958436349
H2CCH2,30,43975.71088700256
H2CCH2,31,52071.71708389994
H2CCH2,32,61247.846905762395
H2CCH2,33,71596.76345211428
H2CCH2,34,83214.96045002155
H2CCH2,35,96202.7622535769
H2CCH2,36,110664.32384341783
H2CCH2,37,126707.63082627313
H2CCH2,38,144444.49943453787
H2CCH2,39,163990.57652587714
H2CCH2,40,185465.33958285296
H2CCH2,41,208992.09671257876
H2CCH2,42,234697.98664639512
H2CCH2,43,262713.97873956774
H2CCH2,44,293174.872971007
H2CCH2,45,326219.2999430056
H2O,1,419.93589557267916
H2O,2,199.73918344303368
H2O,3,75.39394880947296
H2O,4,16.83707182829114
H2O,5,0.2322173400329093
H2O,6,8.211887124140418
H2O,7,29.712082974418266
H2O,8,60.01849991569845
H2O,9,100.79298801663367
H2O,10,160.0271795981789
H2O,11,252.09199462886212
H2O,12,397.5770754554388
H2O,13,623.6787170119911
H2O,14,963.8148973063004
H2O,15,1457.6449367438172
H2O,16,2151.0656858793272
H2O,17,3096.976970914412
H2O,18,4354.00916858303
H2O,19,5987.61175972544
H2O,20,8067.714464724694
H2O,21,10674.364430511017
H2O,22,13891.442338921714
H2O,23,17808.577019196993
H2O,24,22523.907408372586
H2O,25,28136.413539151345
H2O,26,34761.69380263203
H2O,27,42514.53067728545
H2O,28,51514.97127270273
H2O,29,61887.48182995647
H2O,30,73778.85483831778
H2O,31,87322.35269882501
H2O,32,102669.81433457753
H2O,33,119962.04663328786
H2O,34,139378.10891314474
H2O,35,161080.44437887357
H2O,36,185235.77867359147
H2O,37,212013.24217470316
H2O,38,241628.83137743696
H2O,39,274253.83494750655
H2O,40,310096.6030224237
H2O,41,349331.8386010451
H2O,42,392213.300867288
H2O,43,438947.96688888146
H2O,44,489745.9460094729
H2O,45,544816.8752229869
HCCH,1,561.6359105985451
HCCH,2,352.5577473793684
HCCH,3,234.85375892577025
HCCH,4,179.68419642892238
HCCH,5,164.3379490478658
HCCH,6,172.2323717475002
HCCH,7,192.91318019050135
HCCH,8,222.05438689844337
HCCH,9,261.4582624855746
HCCH,10,319.05531200833764
HCCH,11,408.9042603948296
HCCH,12,551.192043326812
HCCH,13,772.2338014046607
HCCH,14,1104.4728763001178
HCCH,15,1586.48080812364
HCCH,16,2262.9573335438577
HCCH,17,3184.7303843816358
HCCH,18,4408.756086511218
HCCH,19,5998.118758966782
HCCH,20,8022.030913191863
HCCH,21,10555.833252392626
HCCH,22,13680.994670970347
HCCH,23,17485.1122540166
HCCH,24,22061.91127686045
HCCH,25,27511.245204659604
HCCH,26,33939.09569202993
HCCH,27,41457.57258270864
HCCH,28,50184.913909247916
HCCH,29,60245.48589273494
HCCH,30,71769.78294253758
HCCH,31,84894.42765607062
HCCH,32,99762.17081858384
HCCH,33,116521.89140296695
HCCH,34,135328.5965695713
HCCH,35,156343.4216660476
HCCH,36,179733.6302271966
HCCH,37,205672.61397483118
HCCH,38,234339.8928176525
HCCH,39,265921.11485113384
HCCH,40,300608.0563574145
HCCH,41,338598.62180520344
HCCH,42,380096.84384968906
HCCH,43,425312.8833324572
HCCH,44,474463.0292814159
HCCH,45,527769.698910723
HCN,1,481.7647304469737
HCN,2,234.30826253066795
HCN,3,92.21027847613766
HCN,4,22.940211097932934
HCN,5,0.6502216126038908
HCN,6,6.175199638700427
HCN,7,27.032763196772557
HCN,8,57.423258709370344
HCN,9,98.2297610010438
HCN,10,157.01807329834276
HCN,11,248.03672722981761
HCN,12,392.21698282601767
HCN,13,617.1728285194938
HCN,14,957.2009811447961
HCN,15,1453.2808859384743
HCN,16,2153.0747165390744
HCN,17,3110.9273749871536
HCN,18,4387.866491725257
HCN,19,6051.602425597942
HCN,20,8176.528263851752
HCN,21,10843.719822135223
HCN,22,14140.935644498933
HCN,23,18162.61700339542
HCN,24,23009.887899679226
HCN,25,28790.55506260693
HCN,26,35619.10794983698
HCN,27,43616.718747430124
HCN,28,52911.242369848704
HCN,29,63637.21645995743
HCN,30,75935.86138902271
HCN,31,89955.08025671313
HCN,32,105849.45889109944
HCN,33,123780.2658486539
HCN,34,143915.45241425114
HCN,35,166429.652601168
HCN,36,191504.18315108254
HCN,37,219327.0435340757
HCN,38,250092.91594862976
HCN,39,284003.1653216293
HCN,40,321265.8393083613
HCN,41,362095.6682925136
