name,phi,psi,theta,energy
ala-ala,100,-140,nan,-15535.09709618425
ala-ala,100,-160,nan,-15534.216055483084
ala-ala,100,-180,nan,-15533.027609125582
ala-ala,100,-20,nan,-15532.280322178038
ala-ala,100,-40,nan,-15535.035306475876
ala-ala,100,-60,nan,-15532.61054730188
ala-ala,100,-80,nan,-15534.605789729123
ala-ala,100,0,nan,-15533.30461177352
ala-ala,100,100,nan,-15520.433260651742
ala-ala,100,120,nan,-15535.14927864102
ala-ala,100,140,nan,-15534.43270708858
ala-ala,100,160,nan,-15532.919519517658
ala-ala,100,180,nan,-15535.099603169156
ala-ala,100,20,nan,-15535.125445005195
ala-ala,100,40,nan,-15532.696351057562
ala-ala,100,60,nan,-15534.380166802093
ala-ala,100,80,nan,-15534.995205057729
ala-ala,120,-100,nan,-15534.928816081052
ala-ala,120,-120,nan,-15534.999125674085
ala-ala,120,-140,nan,-15532.25230533599
ala-ala,120,-160,nan,-15535.139410160116
ala-ala,120,-180,nan,-15534.66554511435
ala-ala,120,-20,nan,-15532.783763822441
ala-ala,120,-40,nan,-15534.734229915583
ala-ala,120,-60,nan,-15535.105049255757
ala-ala,120,-80,nan,-15533.826232255818
ala-ala,120,0,nan,-15535.263334617228
ala-ala,120,100,nan,-15535.134038904824
ala-ala,120,120,nan,-15534.846348713292
ala-ala,120,140,nan,-15533.931497321973
ala-ala,120,160,nan,-15535.128446965195
ala-ala,120,180,nan,-15534.544278937445
ala-ala,120,20,nan,-15534.140763757563
ala-ala,120,40,nan,-15534.776798045788
ala-ala,120,60,nan,-15535.1201366082
ala-ala,120,80,nan,-15531.290964109656
ala-ala,140,-100,nan,-15534.780750227352
ala-ala,140,-120,nan,-15534.877213771011
ala-ala,140,-140,nan,-15534.99698468231
ala-ala,140,-160,nan,-15534.861596068677
ala-ala,140,-180,nan,-15534.959364670363
ala-ala,140,-20,nan,-15534.954365938931
ala-ala,140,-40,nan,-15534.963505154712
ala-ala,140,-60,nan,-15534.867040522598
ala-ala,140,-80,nan,-15534.930702102149
ala-ala,140,0,nan,-15534.801915514758
ala-ala,140,100,nan,-15534.860405026351
ala-ala,140,120,nan,-15534.781040028603
ala-ala,140,140,nan,-15534.944050919199
ala-ala,140,160,nan,-15534.862473907959
ala-ala,140,180,nan,-15534.984215195647
ala-ala,140,20,nan,-15534.830026508196
ala-ala,140,40,nan,-15534.94926843017
ala-ala,140,60,nan,-15534.864855176264
ala-ala,140,80,nan,-15534.98657360639
ala-ala,160,-100,nan,-15535.128951464272
ala-ala,160,-120,nan,-15534.937029565517
ala-ala,160,-140,nan,-15535.194897711715
ala-ala,160,-160,nan,-15535.082747620912
ala-ala,160,-180,nan,-15535.327686821734
ala-ala,160,-20,nan,-15534.910377646542
ala-ala,160,-40,nan,-15535.119768166047
ala-ala,160,-60,nan,-15535.175804027052
ala-ala,160,-80,nan,-15535.297057686721
ala-ala,160,0,nan,-15535.172605328738
ala-ala,160,100,nan,-15535.003718139542
ala-ala,160,120,nan,-15535.126837683882
ala-ala,160,140,nan,-15535.313279753918
ala-ala,160,160,nan,-15535.15894983938
ala-ala,160,180,nan,-15535.13927056571
ala-ala,160,20,nan,-15535.18059105391
ala-ala,160,40,nan,-15535.31274423386
ala-ala,160,60,nan,-15535.071174890965
ala-ala,160,80,nan,-15535.189597478135
ala-ala,180,-100,nan,-15535.396295158973
ala-ala,180,-120,nan,-15535.48678253825
ala-ala,180,-140,nan,-15535.169675751024
ala-ala,180,-160,nan,-15535.106028321392
ala-ala,180,-180,nan,-15535.315212850712
ala-ala,180,-20,nan,-15535.261575673298
ala-ala,180,-40,nan,-15535.160458166452
ala-ala,180,-60,nan,-15535.157651039972
ala-ala,180,-80,nan,-15535.362519299395
ala-ala,180,0,nan,-15535.471985531287
ala-ala,180,100,nan,-15535.497800700172
ala-ala,180,120,nan,-15535.383936019998
ala-ala,180,140,nan,-15535.363030329207
ala-ala,180,160,nan,-15535.147087308182
ala-ala,180,180,nan,-15535.172500564908
ala-ala,180,20,nan,-15535.346294511059
ala-ala,180,40,nan,-15535.293454083
ala-ala,180,60,nan,-15535.101269322262
ala-ala,180,80,nan,-15535.161967854096
ala-ala,20,-100,nan,-15535.057702262115
ala-ala,20,-120,nan,-15535.324932213225
ala-ala,20,-140,nan,-15535.52110888415
ala-ala,20,-160,nan,-15535.208801368904
ala-ala,20,-180,nan,-15535.24960348022
ala-ala,20,-20,nan,-15535.186124216945
ala-ala,20,-40,nan,-15535.488677539104
ala-ala,20,-60,nan,-15535.196382092769
ala-ala,20,-80,nan,-15535.122172836142
ala-ala,20,0,nan,-15535.208927629732
ala-ala,20,100,nan,-15535.324908267205
ala-ala,20,120,nan,-15535.03661915309
ala-ala,20,140,nan,-15535.155794679284
ala-ala,20,160,nan,-15535.193912115346
ala-ala,20,180,nan,-15535.548081353238
ala-ala,20,20,nan,-15534.974292836203
ala-ala,20,40,nan,-15535.248676932557
ala-ala,20,60,nan,-15535.221647863787
ala-ala,20,80,nan,-15535.442880505952
ala-ala,40,-100,nan,-15534.69822489934
ala-ala,40,-120,nan,-15534.582704950617
ala-ala,40,-140,nan,-15534.854625600281
ala-ala,40,-160,nan,-15534.739459399561
ala-ala,40,-180,nan,-15534.895651933408
ala-ala,40,-20,nan,-15534.788050225618
ala-ala,40,-40,nan,-15534.782815299364
ala-ala,40,-60,nan,-15534.802593622473
ala-ala,40,-80,nan,-15534.859546507154
ala-ala,40,0,nan,-15534.683080130879
ala-ala,40,100,nan,-15534.582501137342
ala-ala,40,120,nan,-15534.700181942153
ala-ala,40,140,nan,-15534.873647719003
ala-ala,40,160,nan,-15534.792301460306
ala-ala,40,180,nan,-15534.79952227344
ala-ala,40,20,nan,-15534.757926406028
ala-ala,40,40,nan,-15534.887602805711
ala-ala,40,60,nan,-15534.732588524837
ala-ala,40,80,nan,-15534.859917126218
ala-ala,60,-100,nan,-15535.307442639712
ala-ala,60,-120,nan,-15535.305557979182
ala-ala,60,-140,nan,-15535.197224285135
ala-ala,60,-160,nan,-15535.134430476652
ala-ala,60,-180,nan,-15535.39317836693
ala-ala,60,-20,nan,-15534.954020082228
ala-ala,60,-40,nan,-15535.187044778102
ala-ala,60,-60,nan,-15535.212599806144
ala-ala,60,-80,nan,-15535.413407038464
ala-ala,60,0,nan,-15535.386466406693
ala-ala,60,100,nan,-15535.352494353026
ala-ala,60,120,nan,-15535.301744575681
ala-ala,60,140,nan,-15535.421977536298
ala-ala,60,160,nan,-15535.197040064058
ala-ala,60,180,nan,-15535.203242899282
ala-ala,60,20,nan,-15535.32938617273
ala-ala,60,40,nan,-15535.370240802018
ala-ala,60,60,nan,-15535.126808567702
ala-ala,60,80,nan,-15535.170072765131
ala-ala,80,-100,nan,-15535.54953797868
ala-ala,80,-120,nan,-15535.498759085152
ala-ala,80,-140,nan,-15535.260525041722
ala-ala,80,-160,nan,-15535.053019726973
ala-ala,80,-180,nan,-15535.277643451942
ala-ala,80,-20,nan,-15535.42857112701
ala-ala,80,-40,nan,-15535.14712758103
ala-ala,80,-60,nan,-15535.106852554247
ala-ala,80,-80,nan,-15535.335709282272
ala-ala,80,0,nan,-15535.659961234986
ala-ala,80,100,nan,-15535.510648283507
ala-ala,80,120,nan,-15535.512086949435
ala-ala,80,140,nan,-15535.332854535869
ala-ala,80,160,nan,-15535.094067284981
ala-ala,80,180,nan,-15535.170643387877
ala-ala,80,20,nan,-15535.359593803389
ala-ala,80,40,nan,-15535.254406833908
ala-ala,80,60,nan,-15535.050855877635
ala-ala,80,80,nan,-15535.278444827234
aspartame,-100,-100,nan,-28019.945070018566
aspartame,-100,-120,nan,-28019.454680042887
aspartame,-100,-140,nan,-28013.42921978516
aspartame,-100,-160,nan,-28020.206526530113
aspartame,-100,-180,nan,-28018.825267645218
aspartame,-100,-20,nan,-28014.844548412595
aspartame,-100,-40,nan,-28018.89916124977
aspartame,-100,-60,nan,-28020.066038230805
aspartame,-100,-80,nan,-28017.125868212574
aspartame,-100,0,nan,-28020.335677477946
aspartame,-100,100,nan,-28019.77526498935
aspartame,-100,120,nan,-28019.826747841405
aspartame,-100,140,nan,-28017.255417535092
aspartame,-100,160,nan,-28020.129626339618
aspartame,-100,180,nan,-28018.339341697254
aspartame,-100,20,nan,-28018.52488905695
aspartame,-100,40,nan,-28019.11518726552
aspartame,-100,60,nan,-28020.16762078022
aspartame,-100,80,nan,-28012.507999297064
aspartame,-120,-100,nan,-28019.938623097216
aspartame,-120,-120,nan,-28015.071746606707
aspartame,-120,-140,nan,-28020.288751172313
aspartame,-120,-160,nan,-28019.31255389031
aspartame,-120,-180,nan,-28019.09867920667
aspartame,-120,-20,nan,-28018.79802986512
aspartame,-120,-40,nan,-28020.136816131773
aspartame,-120,-60,nan,-28018.186326364725
aspartame,-120,-80,nan,-28020.098916386793
aspartame,-120,0,nan,-28017.57743352829
aspartame,-120,100,nan,-28014.770548683635
aspartame,-120,120,nan,-28020.081434976695
aspartame,-120,140,nan,-28019.99599013918
aspartame,-120,160,nan,-28018.323006430695
aspartame,-120,180,nan,-28020.200699212
aspartame,-120,20,nan,-28020.359745131685
aspartame,-120,40,nan,-28018.857540619996
aspartame,-120,60,nan,-28019.4775901243
aspartame,-120,80,nan,-28020.239552171806
aspartame,-140,-100,nan,-28020.38702644999
aspartame,-140,-120,nan,-28020.397044321402
aspartame,-140,-140,nan,-28020.383060390617
aspartame,-140,-160,nan,-28020.238566031207
aspartame,-140,-180,nan,-28020.433663498603
aspartame,-140,-20,nan,-28020.3756335873
aspartame,-140,-40,nan,-28020.336668788706
aspartame,-140,-60,nan,-28020.29688792067
aspartame,-140,-80,nan,-28020.458132248154
aspartame,-140,0,nan,-28020.39734772834
aspartame,-140,100,nan,-28020.400179889297
aspartame,-140,120,nan,-28020.389543230995
aspartame,-140,140,nan,-28020.459605472537
aspartame,-140,160,nan,-28020.278723232695
aspartame,-140,180,nan,-28020.351784440987
aspartame,-140,20,nan,-28020.42391311511
aspartame,-140,40,nan,-28020.41998868916
aspartame,-140,60,nan,-28020.243490747678
aspartame,-140,80,nan,-28020.382715894488
aspartame,-160,-100,nan,-28016.895895001417
aspartame,-160,-120,nan,-28016.9884610584
aspartame,-160,-140,nan,-28016.958465132317
aspartame,-160,-160,nan,-28016.791182054272
aspartame,-160,-180,nan,-28017.070582569453
aspartame,-160,-20,nan,-28016.981762703857
aspartame,-160,-40,nan,-28016.869561183536
aspartame,-160,-60,nan,-28016.893197808935
aspartame,-160,-80,nan,-28017.063309238343
aspartame,-160,0,nan,-28016.93430686467
aspartame,-160,100,nan,-28016.9874749178
aspartame,-160,120,nan,-28016.898401986324
aspartame,-160,140,nan,-28017.075724432776
aspartame,-160,160,nan,-28016.86669419201
aspartame,-160,180,nan,-28016.887509813118
aspartame,-160,20,nan,-28016.965840506124
aspartame,-160,40,nan,-28017.055013031273
aspartame,-160,60,nan,-28016.79041333264
aspartame,-160,80,nan,-28016.96636541374
aspartame,-180,-100,nan,-28013.57896893514
aspartame,-180,-120,nan,-28013.623675335984
aspartame,-180,-140,nan,-28013.601270842104
aspartame,-180,-160,nan,-28013.478144222798
aspartame,-180,-180,nan,-28013.661562835845
aspartame,-180,-20,nan,-28013.603567483
aspartame,-180,-40,nan,-28013.556073275762
aspartame,-180,-60,nan,-28013.535474257278
aspartame,-180,-80,nan,-28013.669828294052
aspartame,-180,0,nan,-28013.609790998875
