name,phi,psi,theta,cnn_energy
ala-ala,-20.0,100.0,,-358224.2613204448
ala-ala,20.0,-100.0,,-358231.3457473247
ala-ala,20.0,100.0,,-358234.59164271044
ala-ala,-20.0,-120.0,,-358230.3179763286
ala-ala,-20.0,120.0,,-358232.9732345073
ala-ala,20.0,-120.0,,-358235.311872813
ala-ala,20.0,120.0,,-358228.7242263286
ala-ala,-20.0,-140.0,,-358232.8429854839
ala-ala,-20.0,140.0,,-358232.00111231493
ala-ala,20.0,-140.0,,-358232.24831995653
ala-ala,20.0,140.0,,-358230.4400161235
ala-ala,-20.0,-160.0,,-358218.32711634325
ala-ala,-20.0,160.0,,-358217.90749964403
ala-ala,20.0,-160.0,,-358228.1535171001
ala-ala,20.0,160.0,,-358228.82375940966
ala-ala,-20.0,-180.0,,-358228.303770396
ala-ala,-20.0,180.0,,-358227.4626601665
ala-ala,20.0,-180.0,,-358230.4072555034
ala-ala,20.0,180.0,,-358234.18758997606
ala-ala,-20.0,-20.0,,-358235.079450938
ala-ala,-20.0,20.0,,-358230.578581187
ala-ala,20.0,-20.0,,-358240.560423228
ala-ala,20.0,20.0,,-358226.6787551372
ala-ala,-20.0,-40.0,,-358228.37789759325
ala-ala,-20.0,40.0,,-358227.1427596538
ala-ala,20.0,-40.0,,-358232.8285964458
ala-ala,20.0,40.0,,-358231.5159591167
ala-ala,-20.0,-60.0,,-358219.49175867724
ala-ala,-20.0,60.0,,-358219.94470057177
ala-ala,20.0,-60.0,,-358227.2403853862
ala-ala,20.0,60.0,,-358227.75791773485
ala-ala,-20.0,-80.0,,-358231.1345351665
ala-ala,-20.0,80.0,,-358234.5153487651
ala-ala,20.0,-80.0,,-358230.0156386821
ala-ala,20.0,80.0,,-358229.0633834331
ala-ala,-40.0,0.0,,-358235.9132369487
ala-ala,40.0,0.0,,-358229.1221145122
ala-ala,-40.0,-100.0,,-358233.6209548442
ala-ala,-40.0,100.0,,-358236.65870508837
ala-ala,40.0,-100.0,,-358228.121549937
ala-ala,40.0,100.0,,-358221.6350539653
ala-ala,-40.0,-120.0,,-358236.27761683153
ala-ala,-40.0,120.0,,-358235.30532679247
ala-ala,40.0,-120.0,,-358220.88529810595
ala-ala,40.0,120.0,,-358229.2923263042
ala-ala,-40.0,-140.0,,-358232.3058303325
ala-ala,-40.0,140.0,,-358234.06513819384
ala-ala,40.0,-140.0,,-358229.5597213237
ala-ala,40.0,140.0,,-358227.19051966356
ala-ala,-40.0,-160.0,,-358227.1372817485
ala-ala,-40.0,160.0,,-358227.5540450542
ala-ala,40.0,-160.0,,-358220.99496302294
ala-ala,40.0,160.0,,-358223.2162764995
ala-ala,-40.0,-180.0,,-358231.8157638042
ala-ala,-40.0,180.0,,-358230.7444594829
ala-ala,40.0,-180.0,,-358226.7074569194
ala-ala,40.0,180.0,,-358227.801527354
ala-ala,-40.0,-20.0,,-358229.72079310106
ala-ala,-40.0,20.0,,-358233.54360804247
ala-ala,40.0,-20.0,,-358228.0641005962
ala-ala,40.0,20.0,,-358227.41193995165
ala-ala,-40.0,-40.0,,-358230.7533858745
ala-ala,-40.0,40.0,,-358230.1188643901
ala-ala,40.0,-40.0,,-358226.935713145
ala-ala,40.0,40.0,,-358227.25008997606
ala-ala,-40.0,-60.0,,-358225.3378890483
ala-ala,-40.0,60.0,,-358224.3135055034
ala-ala,40.0,-60.0,,-358223.52575525927
ala-ala,40.0,60.0,,-358223.04293665575
ala-ala,-40.0,-80.0,,-358234.2629073589
ala-ala,-40.0,80.0,,-358229.84109339403
ala-ala,40.0,-80.0,,-358227.6696761577
ala-ala,40.0,80.0,,-358229.7969191997
