name,point,bobrfr_energy
H2,34,-61.85927478240792
H2,35,-61.8592747824079
H2,36,-61.85927478240791
H2,37,-61.85927478240791
H2,38,-61.8592747824079
H2,39,-61.8592747824079
H2,40,-61.8592747824079
H2,41,-61.8592747824079
H2,42,-61.8592747824079
H2,43,-61.85927478240792
H2,44,-61.85927478240791
H2,45,-61.8592747824079
H2CCH2,1,-78.53824894389967
H2CCH2,2,-78.53870421193305
H2CCH2,3,-78.53971400090188
H2CCH2,4,-78.54239939069974
H2CCH2,5,-78.54690361531158
H2CCH2,6,-78.55182440346664
H2CCH2,7,-78.55346540573811
H2CCH2,8,-78.55511704717439
H2CCH2,9,-78.5570278899115
H2CCH2,10,-78.55632709349202
H2CCH2,11,-78.55282789848061
H2CCH2,12,-78.54450838364399
H2CCH2,13,-78.54288821115719
H2CCH2,14,-78.54089737272123
H2CCH2,15,-78.54083170502172
H2CCH2,16,-78.54034962006742
H2CCH2,17,-78.53941250981353
H2CCH2,18,-78.53943299855703
H2CCH2,19,-78.53944715541802
H2CCH2,20,-78.53944715541802
H2CCH2,21,-78.53944715541802
H2CCH2,22,-78.53944715541802
H2CCH2,23,-78.53943529067001
H2CCH2,24,-78.53942996727702
H2CCH2,25,-78.539429967277
H2CCH2,26,-78.53942996727702
H2CCH2,27,-78.53941181059301
H2CCH2,28,-78.53938660022726
H2CCH2,29,-78.15905524067252
H2CCH2,30,-60.27596351779471
H2CCH2,31,-60.275963517794715
H2CCH2,32,-60.275963517794715
H2CCH2,33,-60.275963517794715
H2CCH2,34,-60.275963517794715
H2CCH2,35,-60.275991387320474
H2CCH2,36,-60.275963517794715
H2CCH2,37,-60.59589207470893
H2CCH2,38,-60.59589207470892
H2CCH2,39,-60.595864205183176
H2CCH2,40,-61.55587901359639
H2CCH2,41,-62.145765680873275
H2CCH2,42,-62.120667696292266
H2CCH2,43,-62.12066769629227
H2CCH2,44,-62.082837011527275
H2CCH2,45,-62.082837011527275
H2O,1,-76.34728610482205
H2O,2,-76.35340925437632
H2O,3,-76.36876998955645
H2O,4,-76.37794866351149
H2O,5,-76.38678606562411
H2O,6,-76.38737886629441
H2O,7,-76.3778134030267
H2O,8,-76.3676859561866
H2O,9,-76.36404694300481
H2O,10,-76.36388438472419
H2O,11,-76.3638843847242
H2O,12,-76.36388438472419
H2O,13,-76.3638843847242
H2O,14,-76.36388438472419
H2O,15,-76.3638843847242
H2O,16,-76.3638843847242
H2O,17,-76.3638843847242
H2O,18,-72.78744590462746
H2O,19,-67.42279169891867
H2O,20,-67.42279169891869
H2O,21,-67.42279169891867
H2O,22,-67.42279169891866
H2O,23,-67.42279169891869
H2O,24,-67.42279169891867
H2O,25,-67.42279169891869
H2O,26,-67.42279169891869
H2O,27,-67.42279169891866
H2O,28,-67.42279169891867
H2O,29,-67.42279169891869
H2O,30,-67.42279169891869
H2O,31,-67.42279169891867
H2O,32,-67.42279169891866
H2O,33,-67.4227916989187
H2O,34,-67.42279169891869
H2O,35,-67.42279169891869
H2O,36,-67.42279169891866
H2O,37,-67.42279169891869
H2O,38,-67.42279169891869
H2O,39,-67.42279169891867
H2O,40,-67.42279169891867
H2O,41,-67.42279169891867
H2O,42,-67.42279169891867
H2O,43,-106.5318689764228
H2O,44,-106.5318689764228
H2O,45,-106.53186897642281
HCCH,1,-77.28115456109629
HCCH,2,-77.2818564978448
HCCH,3,-77.28353496044657
