name,phi,psi,theta,gaff_energy
ala-ala,40,180,,142.06638590221897
ala-ala,40,20,,142.4216266081288
ala-ala,40,40,,148.14396701629187
ala-ala,40,60,,152.11933750262244
ala-ala,40,80,,139.09041385153986
ala-ala,60,-100,,-23.471088715744116
ala-ala,60,-120,,-20.248909376591953
ala-ala,60,-140,,-20.670698309600738
ala-ala,60,-160,,-8.227886757731866
ala-ala,60,-180,,-16.58408439560077
ala-ala,60,-20,,-14.650063110920271
ala-ala,60,-40,,-17.39680236060221
ala-ala,60,-60,,-8.321216986858346
ala-ala,60,-80,,-21.747982138173306
ala-ala,60,0,,-23.778394469280748
ala-ala,60,100,,-21.320692843036078
ala-ala,60,120,,-23.429017420813167
ala-ala,60,140,,-21.186105991190146
ala-ala,60,160,,-7.756055250514038
ala-ala,60,180,,-18.672929469015443
ala-ala,60,20,,-23.210075912100223
ala-ala,60,40,,-15.29268453347796
ala-ala,60,60,,-9.02669636581431
ala-ala,60,80,,-20.073301759645723
ala-ala,80,-100,,-17.77206259474452
ala-ala,80,-120,,-13.178956339753675
ala-ala,80,-140,,-10.147504369265057
ala-ala,80,-160,,4.38642921742629
ala-ala,80,-180,,-4.016206363939737
ala-ala,80,-20,,-10.779032931565652
ala-ala,80,-40,,-5.051166187499689
ala-ala,80,-60,,4.471935687586885
ala-ala,80,-80,,-10.163152867942578
ala-ala,80,0,,-18.900473539400934
ala-ala,80,100,,-13.978129969469478
ala-ala,80,120,,-17.166290040266233
ala-ala,80,140,,-9.370595755369791
ala-ala,80,160,,5.030247526399613
ala-ala,80,180,,-6.399872659944862
ala-ala,80,20,,-13.717795652950521
ala-ala,80,40,,-2.647088348949282
ala-ala,80,60,,3.537164403034822
ala-ala,80,80,,-10.376168550908645
aspartame,-100,-100,,61.546376657610395
aspartame,-100,-120,,301.08789893878867
aspartame,-100,-140,,9883.882162790758
aspartame,-100,-160,,65.64289654668954
aspartame,-100,-180,,541.68351603628
aspartame,-100,-20,,6908.529798434875
aspartame,-100,-40,,423.6587102215285
aspartame,-100,-60,,83.26291226819578
aspartame,-100,-80,,1709.8617782788965
aspartame,-100,0,,43.941911864336134
aspartame,-100,100,,189.15824765582437
aspartame,-100,120,,76.39547133611933
aspartame,-100,140,,1641.2133286840908
aspartame,-100,160,,74.51946988930307
aspartame,-100,180,,736.6472953672984
aspartame,-100,20,,550.2417795512591
aspartame,-100,40,,389.9780136989067
aspartame,-100,60,,69.00430525522782
aspartame,-100,80,,13682.137589452672
aspartame,-120,-100,,77.70799358614906
aspartame,-120,-120,,5911.873467004533
aspartame,-120,-140,,46.58973785467309
aspartame,-120,-160,,177.77577095425488
aspartame,-120,-180,,347.1514601114844
aspartame,-120,-20,,605.9468968599908
aspartame,-120,-40,,41.22292925678832
aspartame,-120,-60,,692.7394897681869
aspartame,-120,-80,,62.26645703827022
aspartame,-120,0,,1353.9386294149738
aspartame,-120,100,,6574.289391848344
aspartame,-120,120,,56.27811767711111
aspartame,-120,140,,80.75211015564784
aspartame,-120,160,,605.8435239900705
aspartame,-120,180,,37.44151370050898
aspartame,-120,20,,28.39634841142822
aspartame,-120,40,,445.64287818179264
aspartame,-120,60,,135.1427343538621
aspartame,-120,80,,57.97330754585184
aspartame,-140,-100,,10.165675315434854
aspartame,-140,-120,,18.636851456885978
aspartame,-140,-140,,10.72516777605243
aspartame,-140,-160,,29.590129204730857
aspartame,-140,-180,,14.400750742224702
aspartame,-140,-20,,18.841838221517833
aspartame,-140,-40,,14.645412839936327
aspartame,-140,-60,,28.263357173948833
aspartame,-140,-80,,7.317202999591174
aspartame,-140,0,,13.651217935395323
aspartame,-140,100,,17.85110456319576
aspartame,-140,120,,9.521445632919963
aspartame,-140,140,,7.94794477337679
aspartame,-140,160,,29.380351087179008
aspartame,-140,180,,12.854622426895503
aspartame,-140,20,,6.593184554212883
aspartame,-140,40,,16.41217786895939
aspartame,-140,60,,28.33162949489639
aspartame,-140,80,,11.512648704733323
aspartame,-160,-100,,1142.2740669747338
aspartame,-160,-120,,1148.6003450221324
aspartame,-160,-140,,1144.5382572258384
aspartame,-160,-160,,1164.5384210122227
aspartame,-160,-180,,1148.6114738239778
aspartame,-160,-20,,1149.7262096617624
aspartame,-160,-40,,1150.3884126922846
aspartame,-160,-60,,1162.680609948806
aspartame,-160,-80,,1141.5807302603712
aspartame,-160,0,,1144.5493768903768
aspartame,-160,100,,1147.4838118080747
aspartame,-160,120,,1142.19447694207
aspartame,-160,140,,1141.773982431822
aspartame,-160,160,,1163.9979668337346
aspartame,-160,180,,1148.2726640313058
aspartame,-160,20,,1140.3472758773069
aspartame,-160,40,,1150.414081872835
aspartame,-160,60,,1163.565329739409
aspartame,-160,80,,1145.3681523784771
aspartame,-180,-100,,22424.56169006241
aspartame,-180,-120,,22423.273525557233
aspartame,-180,-140,,22429.529860046103
aspartame,-180,-160,,22430.576763199304
aspartame,-180,-180,,22410.893436546176
aspartame,-180,-20,,22434.494686750757
aspartame,-180,-40,,22428.184234030694
