name,point,bond,length,energy,ani2_energy,ani1x_energy,cnn_energy,BAND_energy,bobrfr_energy,bobkrr_energy,bobbrr_energy,fchl_energy,ecfprfr_energy,mmff_energy,gaff_energy
C6H6-C,11,CC,1.9846,-144787.7014241692,-144702.6194048862,-145054.71059700963,-145174.34179140266,,-145518.36407201784,-145445.965840937,-145594.6489878794,-144954.88833131283,-144370.36538419023,581.8755604409007,4293.181259502968
C6H6-C,12,CC,2.0846,-144682.6122777136,-144656.1599282208,-144969.76571462597,-145104.07171083626,,-145502.0832602252,-145408.13248532577,-145587.4023508503,-144840.6987778296,-144370.36538419023,919.2368305285277,5849.840021390217
C6H6-C,13,CC,2.1846,-144584.42769558268,-144637.87313942262,-144948.17565722758,-145047.46209169563,,-145446.10037232112,-145371.1061256026,-145580.867530049,-144781.4894659607,-144370.36538419029,1440.9043524542435,7646.835443361688
C6H6-C,14,CC,2.2846,-144494.1961403336,-144604.07626965406,-144970.0856554318,-144998.58764101204,,-145446.30136328633,-145336.171312508,-145574.6203865727,-144767.01726513074,-144370.36538419023,2220.466173057521,9684.154028446408
C6H6-C,15,CC,2.3846,-144412.49781094157,-144548.79115656685,-145000.22404941762,-144971.8533270472,,-145446.9018216185,-145302.9740689803,-145568.79541053707,-144773.37933798667,-144370.36538419023,3345.0030920513036,11961.798294562925
C6H6-C,16,CC,2.4846,-144339.39735267765,-144506.3049229628,-145030.64550536493,-144934.26030946907,,-145445.84690221306,-145271.3632890041,-145563.31035744405,-144786.56364406072,-144370.36538419023,4915.6067462837045,14480.535590945845
C6H6-C,17,CC,2.5846,-144274.70848401904,-144440.23163184486,-145048.50114964476,-144918.81652284798,,-145425.96143537466,-145240.80217219997,-145558.07653961377,-144795.65223374387,-144370.36538419023,7045.438922560841,17238.90525883858
C6H6-C,18,CC,2.6846,-144217.88193608346,-144435.297765906,-145087.94445756433,-144914.56115175426,,-145382.2187315767,-145211.6204588234,-145553.23793675928,-144807.27892059073,-144370.36538419029,9862.405837215672,20237.608128214186
C6H6-C,19,CC,2.7846,-144168.2909144807,-144480.1021629546,-145141.5254911385,-144922.14568544563,,-145357.71764780092,-145183.61527782783,-145548.55714131333,-144818.22444283974,-144370.36538419023,13507.503918807983,23476.645321788423
C6H6-C,20,CC,2.8846,-144125.12792598523,-144476.24855476452,-145190.91299616377,-144947.45495058235,,-145341.70123634953,-145157.16693762035,-145544.1108512819,-144826.41980171288,-144370.36538419023,18135.205817821483,26956.02315944897
C6H6-C,21,CC,2.9846,-144087.4934944547,-144398.96666622136,-145241.67186308347,-144952.72027040654,,-145341.06706543476,-145132.0761577926,-145539.98853924812,-144829.93922187536,-144370.36538419023,23913.45835145271,30675.743690013955
C6H6-C,22,CC,3.0846,-144054.48947057384,-144272.61940954783,-145284.84898568192,-144975.23382021126,,-145321.1396839991,-145107.82020129726,-145535.98870637827,-144832.6189762531,-144370.36538419029,31023.68247539849,34635.80476167853
C6H6-C,23,CC,3.1846,-144025.33677524538,-144162.71133459383,-145310.92449797818,-144986.0487616175,,-145297.9088787284,-145084.7018786048,-145532.24888236655,-144832.51345567792,-144370.36538419023,39660.77519045821,38836.20958759675
C6H6-C,24,CC,3.2846,-143999.38281605343,-144083.14455803647,-145325.8011844114,-145000.286066305,,-145291.70158909354,-145062.514428811,-145528.6310619364,-144832.74197664316,-144370.36538419023,50033.107667305325,43276.957317219436
C6H6-C,25,CC,3.3846,-143976.21947474015,-143997.2508985896,-145334.27032124947,-145010.87639833626,,-145291.70158909354,-145041.2159611393,-145525.25566319784,-144834.97792606158,-144370.36538419023,62362.52716395745,47958.052579996795
C6H6-C,26,CC,3.4846,-143955.50111283685,-143916.58394379035,-145337.98161963598,-145017.9960272425,,-145291.73349721593,-145020.9408252945,-145521.98213244,-144837.76809957053,-144370.36538419029,76884.35516055142,52879.496040274535
