name,phi,psi,theta,mmff_energy
gly-gly,-100,160,,52.514251625473136
gly-gly,-100,180,,82.78226405903357
gly-gly,-100,20,,78.7266736988317
gly-gly,-100,40,,72.1485580863009
gly-gly,-100,60,,52.489753902968445
gly-gly,-100,80,,200.11380818656536
gly-gly,-120,-100,,55.563444303136606
gly-gly,-120,-120,,150.75153800967655
gly-gly,-120,-140,,51.788557905827794
gly-gly,-120,-160,,67.53472499174778
gly-gly,-120,-180,,72.37185772397802
gly-gly,-120,-20,,79.08606295204486
gly-gly,-120,-40,,54.22107007854463
gly-gly,-120,-60,,85.50500801201552
gly-gly,-120,-80,,53.32203191119417
gly-gly,-120,0,,96.011063095291
gly-gly,-120,100,,155.67140505678103
gly-gly,-120,120,,53.19632477512928
gly-gly,-120,140,,55.46352026946233
gly-gly,-120,160,,83.35575336381342
gly-gly,-120,180,,53.23684269556859
gly-gly,-120,20,,48.15085720471125
gly-gly,-120,40,,76.37217896794893
gly-gly,-120,60,,64.77493102847164
gly-gly,-120,80,,52.63670039783224
gly-gly,-140,-100,,42.60969235846496
gly-gly,-140,-120,,40.05150213515301
gly-gly,-140,-140,,41.877383557165324
gly-gly,-140,-160,,45.494878064905656
gly-gly,-140,-180,,40.42359504044417
gly-gly,-140,-20,,39.4045215072897
gly-gly,-140,-40,,44.75222389742847
gly-gly,-140,-60,,43.447862130184866
gly-gly,-140,-80,,38.98082573788747
gly-gly,-140,0,,42.68375191093084
gly-gly,-140,100,,40.39862858455976
gly-gly,-140,120,,42.28199932859216
gly-gly,-140,140,,39.07744705870269
gly-gly,-140,160,,43.85668274717433
gly-gly,-140,180,,44.344950393342565
gly-gly,-140,20,,39.86817283471862
gly-gly,-140,40,,40.82848022409793
gly-gly,-140,60,,45.65967677169708
gly-gly,-140,80,,41.382110151435974
gly-gly,-160,-100,,233.27566351468295
gly-gly,-160,-120,,229.3013066254975
gly-gly,-160,-140,,231.84211863297713
gly-gly,-160,-160,,234.81827289919804
gly-gly,-160,-180,,229.37905251990406
gly-gly,-160,-20,,228.57929377963316
gly-gly,-160,-40,,234.74777752256654
gly-gly,-160,-60,,232.29762508025084
gly-gly,-160,-80,,228.83282552369448
gly-gly,-160,0,,232.70674345507712
gly-gly,-160,100,,229.67813623111496
gly-gly,-160,120,,232.99947806027248
gly-gly,-160,140,,228.7075649390571
gly-gly,-160,160,,232.78182422191128
gly-gly,-160,180,,234.39325745728158
gly-gly,-160,20,,230.5672476145323
gly-gly,-160,40,,229.6333790625795
gly-gly,-160,60,,235.04459069970335
gly-gly,-160,80,,231.31423701603597
gly-gly,-180,-100,,342.20148986012504
gly-gly,-180,-120,,338.42663534835526
gly-gly,-180,-140,,341.21394334997325
gly-gly,-180,-160,,342.96004637859187
gly-gly,-180,-180,,339.59483098746773
gly-gly,-180,-20,,338.6069546568158
gly-gly,-180,-40,,343.14951462154175
gly-gly,-180,-60,,341.16657538676515
gly-gly,-180,-80,,339.4754916022228
gly-gly,-180,0,,341.28460362323295
gly-gly,-180,100,,338.77758366439105
gly-gly,-180,120,,341.9280551329415
gly-gly,-180,140,,339.45684782967356
gly-gly,-180,160,,341.5075762236433
gly-gly,-180,180,,342.8712132258852
gly-gly,-180,20,,340.3930291712676
gly-gly,-180,40,,339.8805510452429
gly-gly,-180,60,,343.2006168951635
gly-gly,-180,80,,340.7777907879481
gly-gly,-20,-100,,45.94030107513186
gly-gly,-20,-120,,48.07087737794451
gly-gly,-20,-140,,43.61674426245629
gly-gly,-20,-160,,50.348024983537336
gly-gly,-20,-180,,43.832424618252375
gly-gly,-20,-20,,42.52329017485256
gly-gly,-20,-40,,47.32505196816313
gly-gly,-20,-60,,49.12655148851937
gly-gly,-20,-80,,40.81342698792886
gly-gly,-20,0,,51.41529432022642
gly-gly,-20,100,,49.255275973523965
gly-gly,-20,120,,45.046395850943426
gly-gly,-20,140,,41.0816726632272
gly-gly,-20,160,,49.62172765114189
gly-gly,-20,180,,46.68855041408858
gly-gly,-20,20,,41.284323106763004
gly-gly,-20,40,,44.61151424687294
gly-gly,-20,60,,50.158255594256445
gly-gly,-20,80,,43.10948435320262
gly-gly,-40,-100,,47.12201808777607
gly-gly,-40,-120,,44.229069718491694
gly-gly,-40,-140,,45.958656199703256
gly-gly,-40,-160,,49.49400793591465
gly-gly,-40,-180,,44.34609249722423
gly-gly,-40,-20,,43.37385667601849
gly-gly,-40,-40,,48.91361921245525
gly-gly,-40,-60,,47.38095026283189
gly-gly,-40,-80,,43.08245495615633
gly-gly,-40,0,,47.05212498431533
gly-gly,-40,100,,44.608336445294846
gly-gly,-40,120,,46.81258892496622
gly-gly,-40,140,,43.134393005927734
gly-gly,-40,160,,47.79346234045961
gly-gly,-40,180,,48.50860653680694
gly-gly,-40,20,,44.291319311965275
gly-gly,-40,40,,44.75164854935132
gly-gly,-40,60,,49.67557209218606
gly-gly,-40,80,,45.43141691737988
gly-gly,-60,-100,,209.76889929250422
gly-gly,-60,-120,,205.33273859376516
gly-gly,-60,-140,,208.63759686826816
gly-gly,-60,-160,,210.59175030249816
gly-gly,-60,-180,,206.008181802795
gly-gly,-60,-20,,205.33070711829723
gly-gly,-60,-40,,210.98101961606284
gly-gly,-60,-60,,208.21297006057463
gly-gly,-60,-80,,206.03306365668206
gly-gly,-60,0,,208.78646891584174
gly-gly,-60,100,,205.73268440584786
gly-gly,-60,120,,209.58899746230136
gly-gly,-60,140,,205.9125082964237
gly-gly,-60,160,,208.610342414022
gly-gly,-60,180,,210.71249675470952
gly-gly,-60,20,,207.58218797361968
gly-gly,-60,40,,206.23754593278582
gly-gly,-60,60,,210.88058093649028
gly-gly,-60,80,,208.15097510799262
gly-gly,-80,-100,,74.73720556315926
gly-gly,-80,-120,,71.06487042892229
gly-gly,-80,-140,,73.77282964801803
gly-gly,-80,-160,,75.8071274474907
gly-gly,-80,-180,,72.23008332366702
gly-gly,-80,-20,,71.004600330471
gly-gly,-80,-40,,75.95950206626802
gly-gly,-80,-60,,74.01161466827098
gly-gly,-80,-80,,71.69050762774856
gly-gly,-80,0,,73.89561878047637
gly-gly,-80,100,,71.36909623836256
gly-gly,-80,120,,74.5695677508667
gly-gly,-80,140,,71.67818889204705
gly-gly,-80,160,,74.30777942114793
gly-gly,-80,180,,75.71102539920454
gly-gly,-80,20,,72.74420003079945
gly-gly,-80,40,,72.4535154355083
gly-gly,-80,60,,76.03765874834376
gly-gly,-80,80,,73.30820885752814
gly-gly,0,-100,,59.22030452565953
gly-gly,0,-120,,299.4835799785297
gly-gly,0,-140,,122.2759262772117
gly-gly,0,-160,,66.73698888589216
gly-gly,0,-180,,193.15916327465044
gly-gly,0,-20,,561.1359959195801
gly-gly,0,-40,,64.3786245859435
gly-gly,0,-60,,102.47604575270861
gly-gly,0,-80,,133.18872728339088
gly-gly,0,0,,75.21394893505305
gly-gly,0,100,,232.0665884978458
gly-gly,0,120,,59.350060496852336
gly-gly,0,140,,149.14296206694857
gly-gly,0,160,,92.61234593996309
gly-gly,0,180,,67.21774708448055
gly-gly,0,20,,72.67645392796132
gly-gly,0,40,,185.92110421083447
gly-gly,0,60,,64.6200272102711
gly-gly,0,80,,150.91357829159804
gly-gly,100,-100,,56.82646368240461
gly-gly,100,-120,,203.14764131640237
gly-gly,100,-140,,54.93618188311442
gly-gly,100,-160,,70.45491490968668
gly-gly,100,-180,,85.20487816778636
gly-gly,100,-20,,100.02332351330769
gly-gly,100,-40,,55.5634220497137
gly-gly,100,-60,,96.58626614665378
gly-gly,100,-80,,58.465524851105265
gly-gly,100,0,,102.53360578292572
gly-gly,100,100,,204.32045505312695
gly-gly,100,120,,54.472450047684845
gly-gly,100,140,,61.577499540294234
gly-gly,100,160,,92.63278937078505
